GenotypeID,Class
D00713201,Offspring
D00712815,Offspring
D00713602,Offspring
D00713492,Offspring
D00713367,Offspring
D00713789,Offspring
D00712218,Offspring
D00713594,Offspring
D00713805,Offspring
D00713693,Offspring
D00713943,Offspring
D00713303,Offspring
D00712878,Offspring
D00713973,Offspring
D00713054,Offspring
D00712397,Offspring
D00712027,Offspring
D00713727,Offspring
D00713948,Offspring
D00713830,Offspring
D00713144,Offspring
D00713377,Offspring
D00712827,Offspring
D00713628,Offspring
D00714003,Offspring
D00712831,Offspring
D00713929,Offspring
D00713564,Offspring
D00712146,Offspring
D00713672,Offspring
D00712417,Offspring
D00712445,Offspring
D00713994,Offspring
D00713187,Offspring
D00713214,Offspring
D00712374,Offspring
D00713434,Offspring
D00712664,Offspring
D00712058,Offspring
D00712982,Offspring
D00713091,Offspring
D00711570,Offspring
D00712984,Offspring
D00711584,Offspring
D00713245,Offspring
D00713708,Offspring
D00712907,Offspring
D00713589,Offspring
D00713350,Offspring
D00712631,Offspring
D00712880,Offspring
D00713609,Offspring
D00711488,Offspring
D00713234,Offspring
D00712947,Offspring
D00713090,Offspring
D00712345,Offspring
D00713665,Offspring
D00713033,Offspring
D00714368,Offspring
D00712101,Offspring
D00713823,Offspring
D00712848,Offspring
D00712154,Offspring
D00713010,Offspring
D00711776,Offspring
D00713745,Offspring
D00712967,Offspring
D00713946,Offspring
D00713643,Offspring
D00711595,Offspring
D00712789,Offspring
D00712152,Offspring
D00713503,Offspring
D00713501,Offspring
D00713389,Offspring
D00712540,Offspring
D00712153,Offspring
D00713711,Offspring
D00712271,Offspring
D00712555,Offspring
D00711781,Offspring
D00713354,Offspring
D00712615,Offspring
D00712398,Offspring
D00711927,Offspring
D00713684,Offspring
D00712744,Offspring
D00712851,Offspring
D00713170,Offspring
D00713663,Offspring
D00713177,Offspring
D00711154,Offspring
D00712163,Offspring
D00712509,Offspring
D00713766,Offspring
D00712329,Offspring
D00713682,Offspring
D00712510,Offspring
D00711959,Offspring
D00712299,Offspring
D00713603,Offspring
D00713207,Offspring
D00713799,Offspring
D00712955,Offspring
D00713925,Offspring
D00715039,Offspring
D00713619,Offspring
D00713057,Offspring
D00712667,Offspring
D00713254,Offspring
D00711381,Offspring
D00713712,Offspring
D00713189,Offspring
D00713810,Offspring
D00713701,Offspring
D00713113,Offspring
D00713767,Offspring
D00713975,Offspring
D00712453,Offspring
D00713053,Offspring
D00712968,Offspring
D00712686,Offspring
D00713540,Offspring
D00713669,Offspring
D00712349,Offspring
D00713332,Offspring
D00712340,Offspring
D00713942,Offspring
D00713217,Offspring
D00714013,Offspring
D00713829,Offspring
D00712464,Offspring
D00713468,Offspring
D00711772,Offspring
D00713617,Offspring
D00713754,Offspring
D00712536,Offspring
D00712137,Offspring
D00712661,Offspring
D00712013,Offspring
D00713578,Offspring
D00713955,Offspring
D00713263,Offspring
D00712274,Offspring
D00713901,Offspring
D00711631,Offspring
D00712149,Offspring
D00713862,Offspring
D00713111,Offspring
D00711705,Offspring
D00713789,Offspring
D00713677,Offspring
D00713865,Offspring
D00713008,Offspring
D00713435,Offspring
D00712257,Offspring
D00713286,Offspring
D00712306,Offspring
D00711206,Offspring
D00713427,Offspring
D00712174,Offspring
D00713807,Offspring
D00713432,Offspring
D00712255,Offspring
D00713287,Offspring
D00712847,Offspring
D00713991,Offspring
D00713623,Offspring
D00712937,Offspring
D00712117,Offspring
D00713847,Offspring
D00712381,Offspring
D00712428,Offspring
D00713083,Offspring
D00712368,Offspring
D00713944,Offspring
D00713912,Offspring
D00713591,Offspring
D00711583,Offspring
D00711882,Offspring
D00712740,Offspring
D00712954,Offspring
D00713650,Offspring
D00713230,Offspring
D00713583,Offspring
